Distance_km,Vehicle_Type,Passengers,Nominal_L_per_100km,Duration_min,Fuel_Consumed_L
42.99,SUV,5,10.21,73.43,5.49
12.74,SUV,5,10.46,20.8,1.68
24.61,Sedan,2,6.51,48.33,1.79
15.94,Bus,17,13.75,40.72,2.76
26.65,Van,10,12.76,41.26,4.49
12.06,Bus,13,17.19,35.15,2.8
35.4,Bus,36,13.83,95.95,6.96
26.76,SUV,3,11.03,54.35,3.3
12.08,Bus,40,24.3,17.88,4.82
33.52,Sedan,4,6.45,49.65,2.67
14.09,Sedan,3,9.09,23.64,1.47
4.92,Sedan,1,6.61,11.0,0.24
10.18,Sedan,4,6.04,24.16,0.63
37.82,Sedan,2,5.74,69.52,2.66
55.44,Sedan,4,8.46,71.87,4.47
56.26,Van,6,9.6,110.18,6.12
14.71,Sedan,4,7.38,24.11,1.27
19.01,Sedan,1,5.83,25.56,1.19
16.16,SUV,6,8.31,24.42,1.56
21.45,Sedan,4,7.74,25.35,1.62
7.72,Van,10,10.32,12.35,1.02
15.0,Sedan,3,6.01,24.5,0.71
24.66,Bus,40,21.4,59.04,8.49
37.94,Van,2,13.88,66.35,5.28
26.06,Sedan,2,7.27,41.68,2.26
18.43,Sedan,1,5.71,34.14,1.15
10.39,Van,11,10.08,15.38,1.41
39.33,Van,10,11.14,56.0,5.82
6.88,Van,9,11.58,11.02,0.9
8.12,Van,6,9.22,14.1,0.84
31.36,Sedan,3,7.37,51.83,2.51
34.1,Sedan,3,6.6,35.72,2.6
2.43,Sedan,3,4.44,7.21,0.2
18.54,Bus,7,15.21,48.67,2.82
4.19,SUV,5,8.24,5.62,0.42
19.31,Sedan,3,6.41,29.92,1.0
16.65,Sedan,2,8.77,25.14,1.55
48.48,Sedan,2,6.79,90.58,4.07
28.54,Sedan,2,5.49,37.59,1.48
29.13,Van,2,11.4,54.92,3.66
43.74,SUV,7,8.47,58.96,4.66
44.73,Bus,21,18.97,101.6,12.58
23.73,SUV,7,9.87,31.81,2.64
13.8,Sedan,2,7.95,27.88,1.04
36.67,Van,13,10.96,55.25,5.46
35.56,Van,13,13.95,48.97,6.62
31.17,SUV,5,10.36,36.61,3.46
23.66,Van,13,9.73,43.85,2.61
19.19,SUV,4,12.31,27.15,2.14
44.81,SUV,7,9.49,75.49,4.41
16.62,SUV,5,7.75,22.48,1.55
13.34,Sedan,4,8.48,22.2,1.06
18.37,Sedan,4,8.99,38.99,1.71
11.86,Sedan,4,6.46,23.28,0.86
35.66,SUV,3,8.24,70.19,3.15
23.68,Sedan,1,6.29,45.58,1.46
4.45,SUV,3,10.07,12.67,0.51
28.61,Bus,39,21.83,75.57,8.91
18.8,Sedan,4,7.18,29.49,1.66
21.87,SUV,2,9.15,46.4,2.52
25.59,Van,8,13.7,48.74,4.37
15.26,Sedan,3,6.12,27.21,0.85
13.24,Sedan,1,7.74,27.39,1.13
31.24,Sedan,1,6.15,48.43,2.0
8.92,Sedan,3,7.02,16.75,0.63
10.87,Bus,43,17.66,28.5,2.76
12.65,Van,12,10.9,21.8,1.37
38.98,SUV,3,8.43,57.95,3.25
45.9,Bus,12,22.03,125.48,11.65
12.56,Van,10,9.68,23.29,1.19
11.03,Sedan,2,5.61,22.83,0.66
23.5,Bus,12,24.36,52.76,6.28
18.78,SUV,6,10.47,32.65,2.4
36.06,Van,2,6.71,58.07,2.36
29.7,Bus,16,16.3,59.83,6.79
58.2,Sedan,2,4.33,87.34,2.64
11.41,Sedan,3,5.36,26.09,0.64
35.73,Sedan,2,4.0,56.12,1.41
16.65,SUV,2,8.79,28.67,1.84
10.53,Van,3,8.94,22.38,0.87
16.45,Bus,9,18.18,38.6,3.83
17.67,Sedan,4,4.55,36.32,0.9
43.39,SUV,1,9.12,56.26,4.73
6.5,SUV,1,8.38,13.98,0.43
12.84,Sedan,2,8.3,24.65,1.18
22.78,Sedan,3,8.19,43.78,1.98
10.02,Sedan,1,7.44,29.62,0.64
54.79,Bus,5,17.02,103.66,10.31
59.96,Sedan,2,8.88,119.44,5.94
21.6,SUV,1,6.67,36.56,1.7
31.3,Van,3,8.47,40.34,2.52
49.5,Sedan,3,6.4,76.07,3.21
19.65,Bus,13,24.76,38.64,6.5
30.15,Bus,9,17.39,71.65,5.57
9.1,Sedan,1,6.28,19.02,0.71
4.6,SUV,3,6.84,11.86,0.28
38.35,Sedan,3,7.64,62.38,2.72
20.48,Sedan,2,7.64,33.13,1.41
58.9,Sedan,2,7.45,111.81,5.06
14.32,SUV,4,8.06,29.18,1.44
8.52,SUV,1,7.94,25.96,0.7
36.05,Sedan,4,4.95,69.68,1.93
56.06,Sedan,3,6.6,71.23,4.56
9.17,Bus,20,14.76,27.35,1.93
11.31,Sedan,1,5.09,17.5,0.67
48.34,Sedan,2,5.99,85.1,3.14
69.98,SUV,1,8.27,132.52,7.01
30.31,Bus,28,16.39,84.0,7.26
13.43,Sedan,4,7.06,21.72,1.13
45.76,Van,3,11.14,61.29,4.9
17.9,Van,2,10.48,35.84,2.16
13.74,Sedan,1,6.72,16.55,0.88
15.21,Van,9,9.22,32.4,1.73
33.19,Sedan,3,6.63,64.42,2.27
22.39,SUV,2,9.23,40.01,2.2
29.23,SUV,3,6.75,51.41,1.89
36.68,SUV,7,10.49,54.39,4.81
18.56,Sedan,2,5.44,30.77,1.13
39.6,Van,3,11.16,67.54,4.64
21.85,Sedan,1,7.9,34.79,1.57
15.37,Sedan,4,7.61,25.9,1.11
7.08,Sedan,1,6.54,14.41,0.58
18.02,SUV,4,8.46,44.17,1.81
51.4,Van,8,12.71,121.43,7.61
35.52,Sedan,1,7.31,47.77,3.13
29.11,SUV,3,8.07,59.3,2.76
9.8,Sedan,2,5.55,16.7,0.52
15.02,SUV,4,5.89,22.46,0.85
32.51,Sedan,2,6.68,48.22,2.21
37.65,Van,6,10.85,74.61,4.1
36.03,Sedan,4,7.86,47.15,3.09
25.61,Bus,42,19.08,60.78,8.34
12.39,Sedan,3,8.1,28.12,1.31
37.7,Sedan,2,5.66,43.99,1.93
14.94,Sedan,1,7.87,21.64,1.25
38.02,Bus,29,16.41,80.45,8.84
18.05,Bus,34,20.33,49.93,5.27
57.11,Sedan,2,4.75,89.47,2.74
16.77,Van,1,11.42,32.54,2.05
16.55,Van,13,7.43,26.31,1.51
20.62,SUV,7,8.6,23.96,2.1
12.52,SUV,6,9.66,22.39,1.25
10.92,Sedan,2,5.87,21.38,0.66
12.21,Sedan,2,5.24,25.77,0.67
47.27,Bus,17,20.54,67.64,13.83
11.45,Bus,32,17.69,25.78,3.24
16.65,SUV,4,8.27,21.71,1.44
73.8,Sedan,3,6.55,105.67,5.13
38.74,Sedan,3,9.66,52.12,4.59
38.32,Van,9,13.08,55.29,5.88
67.2,Bus,20,21.49,116.74,20.07
20.23,Bus,21,19.31,54.86,5.64
4.89,Van,7,11.3,14.35,0.72
36.15,SUV,5,5.41,69.69,2.0
18.79,Sedan,1,5.69,36.24,1.41
74.19,Sedan,2,5.92,98.11,5.3
4.34,Bus,35,12.38,18.34,0.64
10.93,SUV,2,7.26,14.75,1.0
14.54,Sedan,3,4.12,32.49,0.42
20.5,Sedan,2,6.45,32.94,1.34
7.91,Van,11,12.47,17.73,1.31
27.36,Sedan,3,7.83,43.45,2.51
13.98,Sedan,4,7.0,19.75,1.01
40.33,SUV,3,7.55,79.43,3.46
49.26,Van,9,7.52,95.18,4.73
17.34,Van,4,7.84,40.29,1.47
30.27,Sedan,2,4.98,48.62,1.84
21.73,Van,13,9.4,49.02,2.56
20.66,Sedan,1,6.31,44.33,1.1
7.42,Sedan,3,5.28,26.63,0.4
19.91,Van,3,11.61,37.94,2.43
37.85,SUV,1,8.65,71.83,3.94
27.82,Van,9,11.02,55.35,3.11
11.14,Van,13,13.05,32.54,1.61
7.47,SUV,3,7.23,26.89,0.51
19.43,Sedan,3,7.0,35.74,1.51
12.72,Sedan,3,6.48,20.87,0.9
13.81,Sedan,2,6.1,24.48,1.01
12.88,Sedan,1,7.56,17.43,0.9
21.93,Bus,34,20.64,40.41,5.71
31.62,Sedan,1,5.36,49.16,1.7
12.37,Bus,29,17.45,33.77,2.76
11.98,SUV,1,9.42,21.97,1.22
8.51,Van,8,10.51,8.48,1.13
24.35,SUV,6,9.88,35.33,3.07
37.28,SUV,6,9.42,50.85,3.99
20.11,SUV,1,11.75,31.83,2.49
31.72,Sedan,3,4.66,56.26,1.72
43.73,Van,13,10.78,88.94,5.38
25.4,Sedan,1,5.41,23.05,1.35
11.35,Sedan,4,7.22,23.41,1.02
10.43,SUV,4,6.57,20.14,0.9
11.86,Sedan,3,6.92,20.23,0.99
61.32,Bus,36,16.11,144.42,15.65
71.94,Bus,21,15.8,178.2,16.4
16.87,Bus,28,13.66,38.42,2.77
42.4,Sedan,4,5.94,64.51,2.98
47.13,Sedan,2,7.8,59.95,4.6
7.56,Bus,13,17.92,21.58,1.76
59.22,SUV,7,9.94,79.71,7.08
18.31,Bus,28,22.99,41.26,6.77
17.69,Bus,15,18.79,42.71,3.84
8.78,Bus,35,16.32,19.93,2.24
61.57,Sedan,4,7.06,96.82,4.54
22.76,Sedan,2,5.85,43.43,1.38
57.87,Bus,17,16.49,101.71,12.72
45.35,Sedan,2,4.68,45.21,1.93
17.08,Sedan,3,7.61,25.05,1.57
23.25,SUV,1,8.42,29.58,1.87
13.62,Bus,16,18.55,34.2,2.77
14.83,Van,5,9.14,38.42,1.37
28.84,SUV,2,9.65,41.01,3.44
34.85,Sedan,2,5.59,41.58,1.95
4.74,SUV,4,8.79,10.86,0.43
4.87,Bus,41,20.63,16.53,1.79
15.12,Sedan,1,7.45,32.92,1.06
26.17,SUV,5,8.97,49.55,2.41
47.61,Bus,27,12.7,100.34,7.31
22.53,Van,1,16.39,41.41,3.93
18.24,Van,13,14.14,28.14,2.8
31.37,Van,10,12.3,50.58,4.42
11.21,Sedan,3,5.6,33.71,0.62
22.91,Sedan,2,6.36,39.52,1.67
19.81,Van,12,10.02,26.23,2.51
24.09,Van,1,13.27,52.43,3.69
43.98,Bus,12,18.79,123.01,8.67
5.58,Bus,27,15.65,23.52,1.33
20.57,SUV,4,8.29,27.96,1.75
34.77,SUV,7,10.68,47.9,4.26
30.04,Van,7,13.88,42.82,4.72
6.05,SUV,3,11.29,16.8,0.7
4.85,Van,7,12.36,10.25,0.66
33.2,Van,8,10.55,73.6,3.6
5.81,Bus,18,8.28,23.23,0.49
23.19,Sedan,2,6.86,29.37,1.7
42.21,Sedan,4,6.5,76.19,2.99
7.14,Sedan,4,6.67,18.95,0.45
58.06,SUV,1,9.08,74.27,6.05
32.51,Sedan,4,4.91,52.03,1.54
96.4,SUV,7,9.84,166.71,11.83
15.49,SUV,3,9.95,31.41,1.55
48.95,Sedan,4,7.32,84.01,3.48
16.71,SUV,6,10.42,33.18,1.87
22.25,Sedan,1,7.22,42.99,1.59
13.41,Sedan,4,6.01,25.63,0.75
21.56,Van,13,10.87,52.26,2.46
38.73,Sedan,2,6.61,76.69,2.33
59.29,Sedan,4,6.63,90.15,4.62
11.5,SUV,6,10.5,28.54,1.69
24.54,Van,6,12.16,46.87,3.0
14.67,Sedan,3,8.99,36.62,1.31
25.39,SUV,5,12.31,35.01,2.95
42.31,Sedan,4,6.6,70.44,3.56
15.57,Sedan,3,4.0,30.53,0.77
29.18,SUV,2,10.86,60.03,3.9
10.97,SUV,3,8.19,27.94,1.11
44.48,SUV,7,7.8,90.07,4.35
35.57,Van,6,10.28,50.07,4.72
12.44,Bus,7,16.66,25.36,2.49
12.22,SUV,1,9.92,13.89,1.42
50.67,Sedan,3,4.63,57.47,2.68
69.58,Van,2,9.06,113.01,5.73
12.85,Sedan,4,6.91,15.32,0.97
38.9,SUV,2,9.93,72.74,4.77
17.19,Sedan,2,7.27,29.72,1.6
50.73,Sedan,4,5.56,78.38,3.5
17.81,Bus,43,15.07,36.71,4.83
33.8,Van,9,10.09,54.89,4.11
24.04,Van,6,11.43,33.94,2.83
3.55,SUV,6,11.23,9.5,0.45
11.59,Sedan,1,4.04,18.3,0.58
33.41,Sedan,2,6.24,44.19,2.04
30.9,Sedan,4,4.9,52.97,1.88
26.16,SUV,3,6.52,42.52,1.82
60.56,Van,12,12.74,101.45,10.12
37.25,Van,10,11.98,49.72,4.92
34.4,Sedan,4,7.04,66.04,3.18
3.5,Bus,14,20.76,14.19,0.81
38.42,Van,11,10.14,62.72,4.86
6.35,SUV,4,8.35,10.99,0.61
21.58,SUV,4,12.28,42.99,3.03
6.41,SUV,5,8.63,12.1,0.6
29.65,Sedan,1,7.38,40.91,2.2
43.4,Sedan,2,6.51,73.45,3.51
20.42,Van,3,7.67,39.98,1.82
20.88,Sedan,3,4.05,27.88,0.9
10.78,Sedan,1,5.81,12.27,0.79
42.95,Sedan,1,7.77,80.87,3.71
6.95,Sedan,1,7.45,5.6,0.41
24.04,Bus,35,20.74,49.12,7.8
20.23,Van,3,9.22,31.47,1.81
27.78,SUV,7,11.42,59.59,3.45
36.08,Sedan,2,5.34,47.07,2.12
19.43,SUV,2,9.32,27.93,1.66
38.59,SUV,4,8.98,59.36,4.18
21.14,Sedan,4,6.29,32.53,1.34
27.16,SUV,1,11.01,62.17,3.24
9.38,Sedan,4,5.65,10.91,0.65
16.16,SUV,5,6.98,26.11,1.33
5.78,SUV,4,9.03,16.46,0.58
22.61,Sedan,2,6.02,38.93,1.35
34.82,Sedan,2,10.55,58.49,3.42
18.79,SUV,2,10.01,38.34,2.12
20.31,SUV,6,8.39,37.28,1.66
28.1,Bus,16,14.83,59.68,5.02
30.09,Van,12,7.62,58.24,2.75
5.56,Sedan,1,5.27,8.83,0.25
14.09,Sedan,2,6.64,28.01,1.07
6.37,SUV,2,11.14,12.46,0.64
16.46,Sedan,4,7.85,32.96,1.33
53.95,SUV,3,9.34,81.27,5.66
35.12,Bus,29,17.03,88.87,7.19
21.54,SUV,1,9.4,32.8,1.89
63.14,Sedan,3,5.88,72.62,4.17
26.4,SUV,1,11.58,38.33,3.34
83.94,SUV,1,8.72,101.43,7.18
23.71,SUV,6,8.87,27.7,2.59
14.04,Bus,34,11.35,31.65,2.24
8.8,Sedan,4,6.27,18.9,0.66
32.8,Bus,33,20.51,74.14,9.45
16.34,Bus,11,14.8,40.11,3.39
23.68,Sedan,4,5.6,47.67,1.57
29.55,Sedan,4,7.45,38.72,2.14
11.53,Sedan,3,4.73,22.67,0.42
26.11,Sedan,1,7.77,49.74,2.28
19.01,Sedan,1,5.86,23.54,1.06
6.71,Van,4,10.3,12.51,0.68
30.58,Sedan,1,5.15,47.25,1.32
33.15,Sedan,1,6.95,53.17,2.39
47.84,Van,4,15.43,105.95,7.9
9.03,Sedan,4,7.44,18.36,0.77
70.51,Van,14,9.44,147.47,8.37
12.45,Sedan,2,7.86,18.14,1.25
3.95,Sedan,1,6.12,14.56,0.28
22.17,Van,3,13.47,36.72,3.44
27.79,SUV,2,10.21,53.47,3.4
19.55,Bus,41,9.17,41.75,2.5
8.93,Van,6,9.19,19.41,1.01
15.46,Van,14,12.7,30.61,2.6
26.74,Sedan,1,6.68,53.62,2.07
76.81,Sedan,4,5.27,144.75,4.14
9.29,Van,4,9.86,19.36,1.15
13.95,Van,4,7.57,23.25,1.11
7.46,Bus,5,17.73,20.36,1.52
16.43,SUV,6,12.32,36.45,2.48
20.5,Sedan,3,7.47,46.02,1.64
40.2,Van,4,14.94,82.07,7.43
27.08,Sedan,2,7.56,54.31,2.44
52.42,Bus,5,21.08,129.73,12.13
21.13,Bus,9,23.92,61.4,6.8
2.0,SUV,2,9.57,5.0,0.33
27.9,Van,9,10.66,62.38,3.32
5.16,Van,1,12.86,13.86,0.66
39.42,Sedan,2,8.24,46.01,3.02
21.15,Bus,43,16.56,53.2,5.51
13.5,SUV,2,7.92,30.28,1.1
8.37,Van,10,11.25,21.58,1.03
14.98,Sedan,4,7.5,13.63,0.94
20.48,Bus,29,20.39,58.94,6.69
64.53,Sedan,4,4.79,116.37,3.33
19.31,Sedan,3,8.79,42.02,1.8
25.07,Bus,39,16.08,52.31,5.69
20.08,Sedan,4,6.18,27.57,1.67
25.11,Sedan,1,5.42,46.7,1.56
24.12,Bus,31,26.09,69.06,9.99
21.4,Bus,26,18.73,36.14,5.19
13.16,SUV,3,7.72,25.97,0.87
33.57,SUV,2,10.3,38.46,3.9
9.29,SUV,1,10.15,18.47,1.22
29.74,Sedan,4,6.27,44.14,2.28
33.98,Sedan,3,7.51,64.92,2.91
4.21,Van,7,9.51,9.09,0.47
8.59,Van,6,10.11,20.48,0.84
4.77,Van,14,7.38,6.79,0.29
46.55,Van,12,8.62,78.91,4.21
14.57,Sedan,4,8.67,15.86,1.39
45.01,SUV,1,11.46,89.62,5.53
16.91,Sedan,2,6.58,30.73,1.19
9.91,SUV,6,11.49,21.99,1.35
12.67,SUV,1,8.76,16.53,1.07
23.82,Bus,42,17.27,58.09,6.18
33.75,Sedan,2,6.57,52.13,2.5
21.89,Sedan,2,6.35,33.86,1.68
38.56,Sedan,2,6.24,59.24,2.64
19.01,Van,9,13.06,34.1,2.8
20.53,SUV,5,9.23,39.33,1.84
12.06,Sedan,2,7.35,18.51,0.89
11.1,Sedan,3,7.74,20.1,0.7
35.21,Van,9,11.7,71.38,4.24
9.31,Sedan,3,5.34,20.37,0.5
16.88,Van,10,8.56,23.02,1.62
36.3,Van,14,11.27,50.74,4.4
5.65,Sedan,1,6.29,16.26,0.32
47.3,Sedan,3,6.6,68.73,3.34
10.03,Bus,13,17.95,19.08,2.02
47.42,Sedan,1,9.6,79.18,4.58
9.3,Sedan,2,4.9,24.16,0.43
35.16,Van,7,7.42,72.85,3.03
14.27,Bus,44,19.0,25.34,3.87
66.07,Bus,18,16.87,125.87,14.03
18.15,Van,10,11.57,37.63,2.69
8.34,Sedan,2,7.2,17.32,0.57
29.75,Sedan,1,8.04,52.23,2.18
15.45,Van,10,8.29,43.52,1.48
31.72,SUV,2,8.16,52.9,2.82
46.97,SUV,6,9.64,58.39,4.65
35.77,Bus,26,20.31,95.24,9.18
5.35,Sedan,4,9.13,9.07,0.71
9.15,SUV,6,10.43,20.64,1.12
25.53,Sedan,4,6.43,50.54,1.9
27.31,SUV,6,7.66,40.94,2.39
2.0,Sedan,3,5.82,12.03,0.2
7.66,Sedan,1,5.79,14.1,0.46
9.88,Sedan,2,7.29,22.64,0.93
49.16,SUV,4,9.39,70.4,4.44
13.09,Van,13,8.62,28.15,1.35
33.6,SUV,7,8.35,63.23,3.12
42.86,Bus,15,20.63,77.97,12.27
12.73,Sedan,1,6.92,16.82,0.9
20.03,Sedan,3,7.18,25.46,1.67
33.66,Bus,26,19.15,57.45,9.82
5.3,Sedan,3,8.45,10.12,0.47
17.45,Bus,38,18.71,37.88,4.82
45.62,Sedan,4,6.04,57.95,3.41
26.86,Bus,37,15.25,56.04,6.74
27.06,Sedan,1,6.8,51.56,1.93
38.68,Bus,28,10.68,91.38,6.77
14.1,SUV,4,8.72,32.46,1.14
9.6,Bus,8,17.38,20.5,1.97
25.88,Sedan,1,4.86,23.64,1.39
14.9,SUV,5,7.61,34.93,1.38
14.2,Bus,37,20.43,31.98,3.88
9.35,SUV,7,9.35,13.12,0.96
29.58,SUV,2,9.15,62.69,3.18
18.53,Van,6,11.55,35.74,2.13
9.52,SUV,2,9.14,24.11,0.77
40.17,SUV,6,10.86,80.9,4.03
16.68,SUV,5,9.19,34.24,1.6
30.04,Bus,27,13.63,81.19,6.31
56.51,Sedan,1,8.46,66.72,5.9
39.75,Sedan,1,6.94,68.76,3.42
52.77,Bus,17,16.23,108.65,10.33
39.26,Bus,13,14.24,89.33,7.23
17.51,SUV,6,9.59,31.49,2.14
11.53,SUV,1,8.82,15.05,1.3
16.88,Sedan,3,8.39,17.22,1.36
17.76,Sedan,2,6.08,28.4,1.18
46.77,SUV,7,7.74,72.89,4.76
15.17,Sedan,4,7.57,25.53,1.4
7.73,SUV,7,10.39,16.4,1.08
24.94,Sedan,1,6.7,41.29,1.79
22.17,Bus,20,20.03,48.85,5.5
11.97,Bus,34,17.89,30.0,3.34
16.15,Van,13,11.42,35.66,2.28
53.77,SUV,4,10.75,69.47,6.03
29.5,Sedan,2,7.25,44.99,2.07
17.07,Van,12,10.7,30.87,1.89
11.91,Van,6,13.43,30.99,1.93
71.26,Sedan,2,4.0,97.47,3.12
60.61,Bus,37,24.16,120.37,23.0
37.65,Van,6,7.93,75.93,2.87
18.34,Bus,22,16.12,30.69,4.5
11.49,Van,3,10.93,26.14,1.49
11.82,SUV,6,8.78,20.18,1.06
18.19,SUV,6,10.51,36.0,2.06
15.13,Bus,40,14.83,40.86,3.71
21.17,Bus,26,18.78,59.36,5.16
20.48,Sedan,3,5.81,30.57,1.11
10.18,Sedan,2,6.85,15.24,0.79
10.45,Sedan,2,6.42,26.92,0.65
17.18,Van,6,11.17,39.8,2.32
20.11,Bus,42,16.35,51.03,5.25
51.02,Sedan,4,5.89,85.38,2.97
25.88,SUV,7,9.43,30.9,2.67
25.26,Sedan,4,7.63,45.74,2.38
26.55,Bus,24,16.21,54.71,5.57
43.67,Van,5,9.44,72.59,4.95
146.92,Van,8,12.1,258.21,22.87
14.3,SUV,6,8.95,26.26,1.19
67.94,SUV,4,10.25,113.69,8.1
6.85,Sedan,1,5.41,10.42,0.42
17.31,Sedan,3,4.36,37.18,0.71
9.36,Bus,29,16.4,29.29,2.13
32.97,Van,2,9.62,63.83,3.01
39.06,Bus,25,17.76,110.58,8.84
7.74,Bus,41,16.09,31.52,2.07
42.13,SUV,7,10.11,77.02,5.04
26.97,Van,11,10.48,43.56,2.87
36.19,Bus,35,18.45,95.92,11.68
46.03,Van,6,11.28,90.82,6.8
33.58,Sedan,2,6.73,60.49,2.3
6.57,SUV,7,8.96,17.22,0.81
16.11,Sedan,4,7.11,34.81,1.2
7.35,Bus,24,15.61,23.32,1.61
3.82,SUV,4,11.1,5.0,0.54
8.88,Sedan,1,6.22,19.61,0.52
17.03,Van,4,8.64,25.22,1.65
64.81,SUV,2,9.28,127.47,6.37
20.95,Sedan,1,5.48,39.12,1.39
27.11,Sedan,1,7.3,35.05,1.99
14.64,Van,4,14.98,24.98,2.48
18.48,SUV,2,7.82,30.57,1.81
22.38,Van,11,11.6,29.37,3.24
17.78,SUV,2,6.37,33.17,1.22
30.87,Bus,41,19.36,67.47,9.16
13.51,SUV,2,7.67,26.29,0.98
6.89,SUV,7,8.06,22.37,0.42
5.68,Bus,27,14.7,18.08,1.29
37.18,SUV,7,10.1,78.14,3.84
2.12,Sedan,1,7.71,5.0,0.2
18.26,Sedan,1,6.53,32.57,1.31
9.16,Van,4,9.44,19.67,1.08
31.6,SUV,7,11.38,52.85,4.54
21.39,Van,5,9.65,46.45,2.56
21.75,Sedan,3,4.0,33.38,0.94
23.02,Sedan,2,7.05,31.04,1.48
22.51,Sedan,3,5.17,40.22,1.05
6.88,Sedan,3,7.69,14.37,0.62
15.24,SUV,5,8.43,35.84,1.56
11.14,Sedan,1,7.22,24.48,1.04
12.7,SUV,4,11.1,20.97,1.19
22.72,Bus,34,14.37,60.6,4.82
37.33,Sedan,3,5.82,46.38,2.68
36.52,SUV,4,8.89,61.07,3.34
25.37,Van,7,13.77,42.43,4.61
15.89,Sedan,1,5.71,36.59,0.95
21.73,SUV,7,8.11,41.9,1.66
33.64,Bus,22,19.43,79.49,8.67
12.64,Bus,19,16.27,35.24,2.18
21.12,Sedan,2,6.68,31.7,1.41
14.54,Bus,39,13.35,22.78,2.85
12.5,SUV,5,12.32,25.57,1.71
20.27,Sedan,4,4.88,34.15,1.1
15.95,SUV,5,8.52,35.27,1.65
25.75,Bus,27,17.9,69.52,7.15
16.12,SUV,1,11.87,32.93,2.15
19.03,Sedan,2,4.91,34.01,1.09
6.87,SUV,1,11.98,18.85,0.9
34.61,Sedan,2,7.41,65.76,2.78
35.02,Sedan,3,7.0,45.84,2.31
11.12,Sedan,3,5.32,11.95,0.64
11.89,Sedan,4,7.19,25.55,1.2
23.52,Sedan,1,5.63,41.76,1.48
14.93,Sedan,3,8.02,26.89,1.52
25.21,SUV,4,7.54,44.66,1.96
48.28,Sedan,3,6.36,92.67,2.8
11.54,Sedan,2,5.83,27.43,0.51
36.31,Bus,42,15.04,87.74,9.72
10.09,SUV,7,10.11,26.86,1.23
12.66,Van,1,11.96,17.85,1.42
23.65,Sedan,1,7.95,36.59,1.72
30.65,Sedan,4,4.36,44.86,1.42
47.39,Sedan,1,7.78,52.9,3.46
57.43,Sedan,3,9.51,83.75,5.66
17.19,Sedan,1,5.96,25.71,1.29
20.97,Sedan,1,8.77,35.79,1.83
26.07,Sedan,3,6.18,29.18,1.56
20.36,Sedan,2,4.85,36.17,1.0
17.06,SUV,6,8.54,37.28,1.68
14.25,Sedan,4,7.76,24.66,1.13
30.91,Sedan,3,5.49,37.84,2.2
47.62,SUV,2,8.1,63.43,4.4
6.2,Van,5,12.07,18.63,0.76
18.03,Sedan,4,6.5,29.12,1.29
6.33,Van,7,12.05,17.76,0.89
29.76,SUV,4,9.36,23.84,3.45
12.44,Sedan,2,7.08,20.53,1.07
43.65,Bus,28,16.7,84.33,9.66
18.99,Bus,28,18.7,37.33,5.5
30.01,Sedan,3,5.39,50.83,1.6
11.35,Sedan,3,8.05,22.6,1.18
23.02,Van,7,9.86,36.2,2.41
22.85,Van,11,13.03,46.49,3.22
27.15,Sedan,4,6.22,37.09,1.83
13.55,Sedan,4,6.74,24.28,0.89
41.34,Sedan,2,5.91,54.77,2.24
26.14,SUV,3,7.48,53.76,2.25
46.22,SUV,1,6.38,71.7,2.76
